saison,journee,nom_club,position,nb_points,nb_matchs,nb_victoires,nb_nuls,nb_defaites,nb_buts_pour,nb_buts_contre,nb_buts_diff,serie_resultats,position.dedup,serie_resultats.un,nom_club_actuel,initiales_nom_club_actuel,logo_png
2016-2017,1,Olympique Lyonnais,1,3,1,1,0,0,3,0,3,g,1,G,Olympique Lyonnais,OL,./logos_clubs/OL.png
2016-2017,1,FC Girondins de Bordeaux,2,3,1,1,0,0,3,2,1,G,2,G,FC Girondins de Bordeaux,FCGB,./logos_clubs/FCGB.png
2016-2017,1,SM Caen,-,3,1,1,0,0,3,2,1,G,2,G,SM Caen,SMC,./logos_clubs/SMC.png
2016-2017,1,FC Metz,-,3,1,1,0,0,3,2,1,G,2,G,FC Metz,FCM,./logos_clubs/FCM.png
2016-2017,1,Montpellier Hérault SC,5,3,1,1,0,0,1,0,1,G,5,G,Montpellier Hérault SC,MHSC,./logos_clubs/MHSC.png
2016-2017,1,FC Nantes,-,3,1,1,0,0,1,0,1,g,5,G,FC Nantes,FCN,./logos_clubs/FCN.png
2016-2017,1,OGC Nice,-,3,1,1,0,0,1,0,1,G,5,G,OGC Nice,OGCN,./logos_clubs/OGCN.png
2016-2017,1,Paris Saint-Germain FC,-,3,1,1,0,0,1,0,1,g,5,G,Paris Saint-Germain FC,PSG,./logos_clubs/PSG.png
2016-2017,1,EA Guingamp,9,1,1,0,1,0,2,2,0,n,9,N,EA Guingamp,EAG,./logos_clubs/EAG.png
2016-2017,1,AS Monaco FC,-,1,1,0,1,0,2,2,0,N,9,N,AS Monaco,ASM,./logos_clubs/ASM.png
2016-2017,1,Olympique de Marseille,11,1,1,0,1,0,0,0,0,N,11,N,Olympique de Marseille,OM,./logos_clubs/OM.png
2016-2017,1,Toulouse FC,-,1,1,0,1,0,0,0,0,n,11,N,Toulouse FC,TFC,./logos_clubs/TFC.png
2016-2017,1,Lille OSC,13,0,1,0,0,1,2,3,-1,p,13,P,Lille OSC,LOSC,./logos_clubs/LOSC.png
2016-2017,1,FC Lorient,-,0,1,0,0,1,2,3,-1,p,13,P,FC Lorient,FCL,./logos_clubs/FCL.png
2016-2017,1,AS Saint-Etienne,-,0,1,0,0,1,2,3,-1,p,13,P,AS Saint-Etienne,ASSE,./logos_clubs/ASSE.png
2016-2017,1,Angers SCO,16,0,1,0,0,1,0,1,-1,p,16,P,Angers SCO,SCO,./logos_clubs/SCO.png
2016-2017,1,SC Bastia,-,0,1,0,0,1,0,1,-1,P,16,P,SC Bastia,SCB,./logos_clubs/SCB.png
2016-2017,1,Dijon FCO,-,0,1,0,0,1,0,1,-1,P,16,P,Dijon FCO,DFCO,./logos_clubs/DFCO.png
2016-2017,1,Stade Rennais FC,-,0,1,0,0,1,0,1,-1,p,16,P,Stade Rennais FC,SRFC,./logos_clubs/SRFC.png
2016-2017,1,AS Nancy Lorraine,20,0,1,0,0,1,0,3,-3,P,20,P,AS Nancy Lorraine,ASNL,./logos_clubs/ASNL.png
2015-2016,1,Angers SCO,1,3,1,1,0,0,2,0,2,g,1,G,Angers SCO,SCO,./logos_clubs/SCO.png
2015-2016,1,SC Bastia,2,3,1,1,0,0,2,1,1,G,2,G,SC Bastia,SCB,./logos_clubs/SCB.png
2015-2016,1,AS Monaco FC,-,3,1,1,0,0,2,1,1,g,2,G,AS Monaco,ASM,./logos_clubs/ASM.png
2015-2016,1,Stade de Reims,-,3,1,1,0,0,2,1,1,g,2,G,Stade de Reims,SR,./logos_clubs/SR.png
2015-2016,1,Toulouse FC,-,3,1,1,0,0,2,1,1,G,2,G,Toulouse FC,TFC,./logos_clubs/TFC.png
2015-2016,1,SM Caen,6,3,1,1,0,0,1,0,1,g,6,G,SM Caen,SMC,./logos_clubs/SMC.png
2015-2016,1,FC Nantes,-,3,1,1,0,0,1,0,1,G,6,G,FC Nantes,FCN,./logos_clubs/FCN.png
2015-2016,1,Paris Saint-Germain FC,-,3,1,1,0,0,1,0,1,g,6,G,Paris Saint-Germain FC,PSG,./logos_clubs/PSG.png
2015-2016,1,GFC Ajaccio,9,1,1,0,1,0,0,0,0,n,9,N,GFC Ajaccio,GFCA,./logos_clubs/GFCA.png
2015-2016,1,FC Lorient,-,1,1,0,1,0,0,0,0,n,9,N,FC Lorient,FCL,./logos_clubs/FCL.png
2015-2016,1,Olympique Lyonnais,-,1,1,0,1,0,0,0,0,N,9,N,Olympique Lyonnais,OL,./logos_clubs/OL.png
2015-2016,1,ESTAC Troyes,-,1,1,0,1,0,0,0,0,N,9,N,ESTAC Troyes,ESTAC,./logos_clubs/ESTAC.png
2015-2016,1,FC Girondins de Bordeaux,13,0,1,0,0,1,1,2,-1,P,13,P,FC Girondins de Bordeaux,FCGB,./logos_clubs/FCGB.png
2015-2016,1,OGC Nice,-,0,1,0,0,1,1,2,-1,P,13,P,OGC Nice,OGCN,./logos_clubs/OGCN.png
2015-2016,1,Stade Rennais FC,-,0,1,0,0,1,1,2,-1,p,13,P,Stade Rennais FC,SRFC,./logos_clubs/SRFC.png
2015-2016,1,AS Saint-Etienne,-,0,1,0,0,1,1,2,-1,p,13,P,AS Saint-Etienne,ASSE,./logos_clubs/ASSE.png
2015-2016,1,EA Guingamp,17,0,1,0,0,1,0,1,-1,p,17,P,EA Guingamp,EAG,./logos_clubs/EAG.png
2015-2016,1,Lille OSC,-,0,1,0,0,1,0,1,-1,P,17,P,Lille OSC,LOSC,./logos_clubs/LOSC.png
2015-2016,1,Olympique de Marseille,-,0,1,0,0,1,0,1,-1,P,17,P,Olympique de Marseille,OM,./logos_clubs/OM.png
2015-2016,1,Montpellier Hérault SC,20,0,1,0,0,1,0,2,-2,P,20,P,Montpellier Hérault SC,MHSC,./logos_clubs/MHSC.png
2014-2015,1,SM Caen,1,3,1,1,0,0,3,0,3,g,1,G,SM Caen,SMC,./logos_clubs/SMC.png
2014-2015,1,Olympique Lyonnais,2,3,1,1,0,0,2,0,2,G,2,G,Olympique Lyonnais,OL,./logos_clubs/OL.png
2014-2015,1,AS Saint-Etienne,-,3,1,1,0,0,2,0,2,g,2,G,AS Saint-Etienne,ASSE,./logos_clubs/ASSE.png
2014-2015,1,OGC Nice,4,3,1,1,0,0,3,2,1,G,4,G,OGC Nice,OGCN,./logos_clubs/OGCN.png
2014-2015,1,FC Lorient,5,3,1,1,0,0,2,1,1,g,5,G,FC Lorient,FCL,./logos_clubs/FCL.png
2014-2015,1,FC Girondins de Bordeaux,6,3,1,1,0,0,1,0,1,g,6,G,FC Girondins de Bordeaux,FCGB,./logos_clubs/FCGB.png
2014-2015,1,FC Nantes,-,3,1,1,0,0,1,0,1,G,6,G,FC Nantes,FCN,./logos_clubs/FCN.png
2014-2015,1,SC Bastia,8,1,1,0,1,0,3,3,0,N,8,N,SC Bastia,SCB,./logos_clubs/SCB.png
2014-2015,1,Olympique de Marseille,-,1,1,0,1,0,3,3,0,n,8,N,Olympique de Marseille,OM,./logos_clubs/OM.png
2014-2015,1,Paris Saint-Germain FC,10,1,1,0,1,0,2,2,0,n,10,N,Paris Saint-Germain FC,PSG,./logos_clubs/PSG.png
2014-2015,1,Stade de Reims,-,1,1,0,1,0,2,2,0,N,10,N,Stade de Reims,SR,./logos_clubs/SR.png
2014-2015,1,Lille OSC,12,1,1,0,1,0,0,0,0,N,12,N,Lille OSC,LOSC,./logos_clubs/LOSC.png
2014-2015,1,FC Metz,-,1,1,0,1,0,0,0,0,n,12,N,FC Metz,FCM,./logos_clubs/FCM.png
2014-2015,1,Toulouse FC,14,0,1,0,0,1,2,3,-1,p,14,P,Toulouse FC,TFC,./logos_clubs/TFC.png
2014-2015,1,AS Monaco FC,15,0,1,0,0,1,1,2,-1,P,15,P,AS Monaco,ASM,./logos_clubs/ASM.png
2014-2015,1,RC Lens,16,0,1,0,0,1,0,1,-1,p,16,P,RC Lens,RCL,./logos_clubs/RCL.png
2014-2015,1,Montpellier Hérault SC,-,0,1,0,0,1,0,1,-1,P,16,P,Montpellier Hérault SC,MHSC,./logos_clubs/MHSC.png
2014-2015,1,EA Guingamp,18,0,1,0,0,1,0,2,-2,P,18,P,EA Guingamp,EAG,./logos_clubs/EAG.png
2014-2015,1,Stade Rennais FC,-,0,1,0,0,1,0,2,-2,p,18,P,Stade Rennais FC,SRFC,./logos_clubs/SRFC.png
2014-2015,1,Évian Thonon Gaillard FC ,20,0,1,0,0,1,0,3,-3,P,20,P,Évian Thonon Gaillard FC,ETGFC,./logos_clubs/ETGFC.png
2013-2014,1,Olympique Lyonnais,1,3,1,1,0,0,4,0,4,G,1,G,Olympique Lyonnais,OL,./logos_clubs/OL.png
2013-2014,1,Valenciennes FC,2,3,1,1,0,0,3,0,3,G,2,G,Valenciennes FC,VAFC,./logos_clubs/VAFC.png
2013-2014,1,Olympique de Marseille,3,3,1,1,0,0,3,1,2,g,3,G,Olympique de Marseille,OM,./logos_clubs/OM.png
2013-2014,1,Stade Rennais FC,4,3,1,1,0,0,2,1,1,G,4,G,Stade Rennais FC,SRFC,./logos_clubs/SRFC.png
2013-2014,1,Lille OSC,5,3,1,1,0,0,1,0,1,G,5,G,Lille OSC,LOSC,./logos_clubs/LOSC.png
2013-2014,1,AS Saint-Etienne,-,3,1,1,0,0,1,0,1,g,5,G,AS Saint-Etienne,ASSE,./logos_clubs/ASSE.png
2013-2014,1,SC Bastia,7,3,1,1,0,0,0,0,0,g,7,G,SC Bastia,SCB,./logos_clubs/SCB.png
2013-2014,1,AS Monaco FC,8,1,1,1,0,0,2,0,2,g,8,G,AS Monaco,ASM,./logos_clubs/ASM.png
2013-2014,1,Évian Thonon Gaillard FC,9,1,1,0,1,0,1,1,0,N,9,N,Évian Thonon Gaillard FC,ETGFC,./logos_clubs/ETGFC.png
2013-2014,1,Montpellier Hérault SC,-,1,1,0,1,0,1,1,0,N,9,N,Montpellier Hérault SC,MHSC,./logos_clubs/MHSC.png
2013-2014,1,Paris Saint-Germain FC,-,1,1,0,1,0,1,1,0,n,9,N,Paris Saint-Germain FC,PSG,./logos_clubs/PSG.png
2013-2014,1,FC Sochaux-Montbéliard,-,1,1,0,1,0,1,1,0,n,9,N,FC Sochaux-Montbéliard,FCSM,./logos_clubs/FCSM.png
2013-2014,1,FC Nantes,13,0,1,0,0,1,0,0,0,P,13,P,FC Nantes,FCN,./logos_clubs/FCN.png
2013-2014,1,Stade de Reims,14,0,1,0,0,1,1,2,-1,p,14,P,Stade de Reims,SR,./logos_clubs/SR.png
2013-2014,1,AC Ajaccio,15,0,1,0,0,1,0,1,-1,P,15,P,AC Ajaccio,ACA,./logos_clubs/ACA.png
2013-2014,1,FC Lorient,-,0,1,0,0,1,0,1,-1,p,15,P,FC Lorient,FCL,./logos_clubs/FCL.png
2013-2014,1,EA Guingamp,17,0,1,0,0,1,1,3,-2,P,17,P,EA Guingamp,EAG,./logos_clubs/EAG.png
2013-2014,1,FC Girondins de Bordeaux,18,0,1,0,0,1,0,2,-2,P,18,P,FC Girondins de Bordeaux,FCGB,./logos_clubs/FCGB.png
2013-2014,1,Toulouse FC,19,0,1,0,0,1,0,3,-3,p,19,P,Toulouse FC,TFC,./logos_clubs/TFC.png
2013-2014,1,OGC Nice,20,0,1,0,0,1,0,4,-4,p,20,P,OGC Nice,OGCN,./logos_clubs/OGCN.png
2012-2013,1,SC Bastia,1,3,1,1,0,0,3,2,1,g,1,G,SC Bastia,SCB,./logos_clubs/SCB.png
2012-2013,1,FC Girondins de Bordeaux,-,3,1,1,0,0,3,2,1,g,1,G,FC Girondins de Bordeaux,FCGB,./logos_clubs/FCGB.png
2012-2013,1,Lille OSC,3,3,1,1,0,0,2,1,1,g,3,G,Lille OSC,LOSC,./logos_clubs/LOSC.png
2012-2013,1,Olympique Lyonnais,4,3,1,1,0,0,1,0,1,g,4,G,Olympique Lyonnais,OL,./logos_clubs/OL.png
2012-2013,1,Olympique de Marseille,-,3,1,1,0,0,1,0,1,g,4,G,Olympique de Marseille,OM,./logos_clubs/OM.png
2012-2013,1,AS Nancy Lorraine,-,3,1,1,0,0,1,0,1,G,4,G,AS Nancy Lorraine,ASNL,./logos_clubs/ASNL.png
2012-2013,1,Valenciennes FC,-,3,1,1,0,0,1,0,1,g,4,G,Valenciennes FC,VAFC,./logos_clubs/VAFC.png
2012-2013,1,AC Ajaccio,8,1,1,1,0,0,1,0,1,g,8,G,AC Ajaccio,ACA,./logos_clubs/ACA.png
2012-2013,1,FC Lorient,9,1,1,0,1,0,2,2,0,n,9,N,FC Lorient,FCL,./logos_clubs/FCL.png
2012-2013,1,Paris Saint-Germain FC,-,1,1,0,1,0,2,2,0,N,9,N,Paris Saint-Germain FC,PSG,./logos_clubs/PSG.png
2012-2013,1,Montpellier Hérault SC,11,1,1,0,1,0,1,1,0,N,11,N,Montpellier Hérault SC,MHSC,./logos_clubs/MHSC.png
2012-2013,1,Toulouse FC,-,1,1,0,1,0,1,1,0,n,11,N,Toulouse FC,TFC,./logos_clubs/TFC.png
2012-2013,1,Évian Thonon Gaillard FC,13,0,1,0,0,1,2,3,-1,P,13,P,Évian Thonon Gaillard FC,ETGFC,./logos_clubs/ETGFC.png
2012-2013,1,FC Sochaux-Montbéliard,-,0,1,0,0,1,2,3,-1,P,13,P,FC Sochaux-Montbéliard,FCSM,./logos_clubs/FCSM.png
2012-2013,1,AS Saint-Etienne,15,0,1,0,0,1,1,2,-1,P,15,P,AS Saint-Etienne,ASSE,./logos_clubs/ASSE.png
2012-2013,1,Stade Brestois 29,16,0,1,0,0,1,0,1,-1,p,16,P,Stade Brestois 29,SB29,./logos_clubs/SB29.png
2012-2013,1,OGC Nice,-,0,1,0,0,1,0,1,-1,P,16,P,OGC Nice,OGCN,./logos_clubs/OGCN.png
2012-2013,1,Stade de Reims,-,0,1,0,0,1,0,1,-1,P,16,P,Stade de Reims,SR,./logos_clubs/SR.png
2012-2013,1,Stade Rennais FC,-,0,1,0,0,1,0,1,-1,P,16,P,Stade Rennais FC,SRFC,./logos_clubs/SRFC.png
2012-2013,1,ESTAC Troyes,-,0,1,0,0,1,0,1,-1,P,16,P,ESTAC Troyes,ESTAC,./logos_clubs/ESTAC.png
2011-2012,1,Stade Rennais FC,1,3,1,1,0,0,5,1,4,g,1,G,Stade Rennais FC,SRFC,./logos_clubs/SRFC.png
2011-2012,1,Olympique Lyonnais,2,3,1,1,0,0,3,1,2,g,2,G,Olympique Lyonnais,OL,./logos_clubs/OL.png
2011-2012,1,Montpellier Hérault SC,-,3,1,1,0,0,3,1,2,G,2,G,Montpellier Hérault SC,MHSC,./logos_clubs/MHSC.png
2011-2012,1,Toulouse FC,4,3,1,1,0,0,2,0,2,g,4,G,Toulouse FC,TFC,./logos_clubs/TFC.png
2011-2012,1,AS Saint-Etienne,5,3,1,1,0,0,2,1,1,g,5,G,AS Saint-Etienne,ASSE,./logos_clubs/ASSE.png
2011-2012,1,SM Caen,6,3,1,1,0,0,1,0,1,G,6,G,SM Caen,SMC,./logos_clubs/SMC.png
2011-2012,1,FC Lorient,-,3,1,1,0,0,1,0,1,g,6,G,FC Lorient,FCL,./logos_clubs/FCL.png
2011-2012,1,Stade Brestois 29,8,1,1,0,1,0,2,2,0,N,8,N,Stade Brestois 29,SB29,./logos_clubs/SB29.png
2011-2012,1,Évian Thonon Gaillard FC,-,1,1,0,1,0,2,2,0,n,8,N,Évian Thonon Gaillard FC,ETGFC,./logos_clubs/ETGFC.png
2011-2012,1,Olympique de Marseille,-,1,1,0,1,0,2,2,0,N,8,N,Olympique de Marseille,OM,./logos_clubs/OM.png
2011-2012,1,FC Sochaux-Montbéliard,-,1,1,0,1,0,2,2,0,n,8,N,FC Sochaux-Montbéliard,FCSM,./logos_clubs/FCSM.png
2011-2012,1,Lille OSC,12,1,1,0,1,0,1,1,0,n,12,N,Lille OSC,LOSC,./logos_clubs/LOSC.png
2011-2012,1,AS Nancy Lorraine,-,1,1,0,1,0,1,1,0,N,12,N,AS Nancy Lorraine,ASNL,./logos_clubs/ASNL.png
2011-2012,1,FC Girondins de Bordeaux,14,0,1,0,0,1,1,2,-1,P,14,P,FC Girondins de Bordeaux,FCGB,./logos_clubs/FCGB.png
2011-2012,1,Paris Saint-Germain FC,15,0,1,0,0,1,0,1,-1,P,15,P,Paris Saint-Germain FC,PSG,./logos_clubs/PSG.png
2011-2012,1,Valenciennes FC,-,0,1,0,0,1,0,1,-1,p,15,P,Valenciennes FC,VAFC,./logos_clubs/VAFC.png
2011-2012,1,AJ Auxerre,17,0,1,0,0,1,1,3,-2,p,17,P,AJ Auxerre,AJA,./logos_clubs/AJA.png
2011-2012,1,OGC Nice,-,0,1,0,0,1,1,3,-2,P,17,P,OGC Nice,OGCN,./logos_clubs/OGCN.png
2011-2012,1,AC Ajaccio,19,0,1,0,0,1,0,2,-2,P,19,P,AC Ajaccio,ACA,./logos_clubs/ACA.png
2011-2012,1,Dijon FCO,20,0,1,0,0,1,1,5,-4,P,20,P,Dijon FCO,DFCO,./logos_clubs/DFCO.png
2010-2011,1,Paris Saint-Germain FC,1,3,1,1,0,0,3,1,2,G,1,G,Paris Saint-Germain FC,PSG,./logos_clubs/PSG.png
2010-2011,1,Toulouse FC,2,3,1,1,0,0,2,0,2,G,2,G,Toulouse FC,TFC,./logos_clubs/TFC.png
2010-2011,1,SM Caen,3,3,1,1,0,0,2,1,1,g,3,G,SM Caen,SMC,./logos_clubs/SMC.png
2010-2011,1,AS Nancy Lorraine,-,3,1,1,0,0,2,1,1,g,3,G,AS Nancy Lorraine,ASNL,./logos_clubs/ASNL.png
2010-2011,1,FC Sochaux-Montbéliard,-,3,1,1,0,0,2,1,1,G,3,G,FC Sochaux-Montbéliard,FCSM,./logos_clubs/FCSM.png
2010-2011,1,Montpellier Hérault SC,6,3,1,1,0,0,1,0,1,G,6,G,Montpellier Hérault SC,MHSC,./logos_clubs/MHSC.png
2010-2011,1,AJ Auxerre,7,1,1,0,1,0,2,2,0,N,7,N,AJ Auxerre,AJA,./logos_clubs/AJA.png
2010-2011,1,FC Lorient,-,1,1,0,1,0,2,2,0,n,7,N,FC Lorient,FCL,./logos_clubs/FCL.png
2010-2011,1,Lille OSC,9,1,1,0,1,0,1,1,0,n,9,N,Lille OSC,LOSC,./logos_clubs/LOSC.png
2010-2011,1,Stade Rennais FC,-,1,1,0,1,0,1,1,0,N,9,N,Stade Rennais FC,SRFC,./logos_clubs/SRFC.png
2010-2011,1,Olympique Lyonnais,11,1,1,0,1,0,0,0,0,N,11,N,Olympique Lyonnais,OL,./logos_clubs/OL.png
2010-2011,1,AS Monaco FC,-,1,1,0,1,0,0,0,0,n,11,N,AS Monaco,ASM,./logos_clubs/ASM.png
2010-2011,1,OGC Nice,-,1,1,0,1,0,0,0,0,N,11,N,OGC Nice,OGCN,./logos_clubs/OGCN.png
2010-2011,1,Valenciennes FC,-,1,1,0,1,0,0,0,0,n,11,N,Valenciennes FC,VAFC,./logos_clubs/VAFC.png
2010-2011,1,AC Arles Avignon,15,0,1,0,0,1,1,2,-1,p,15,P,AC Arles Avignon,ACAA,./logos_clubs/ACAA.png
2010-2011,1,RC Lens,-,0,1,0,0,1,1,2,-1,P,15,P,RC Lens,RCL,./logos_clubs/RCL.png
2010-2011,1,Olympique de Marseille,-,0,1,0,0,1,1,2,-1,P,15,P,Olympique de Marseille,OM,./logos_clubs/OM.png
2010-2011,1,FC Girondins de Bordeaux,18,0,1,0,0,1,0,1,-1,p,18,P,FC Girondins de Bordeaux,FCGB,./logos_clubs/FCGB.png
2010-2011,1,AS Saint-Etienne,19,0,1,0,0,1,1,3,-2,p,19,P,AS Saint-Etienne,ASSE,./logos_clubs/ASSE.png
2010-2011,1,Stade Brestois 29,20,0,1,0,0,1,0,2,-2,p,20,P,Stade Brestois 29,SB29,./logos_clubs/SB29.png
2009-2010,1,FC Girondins de Bordeaux,1,3,1,1,0,0,4,1,3,G,1,G,FC Girondins de Bordeaux,FCGB,./logos_clubs/FCGB.png
2009-2010,1,Stade Rennais FC,2,3,1,1,0,0,3,0,3,G,2,G,Stade Rennais FC,SRFC,./logos_clubs/SRFC.png
2009-2010,1,AS Nancy Lorraine,3,3,1,1,0,0,3,1,2,g,3,G,AS Nancy Lorraine,ASNL,./logos_clubs/ASNL.png
2009-2010,1,Olympique de Marseille,4,3,1,1,0,0,2,0,2,g,4,G,Olympique de Marseille,OM,./logos_clubs/OM.png
2009-2010,1,OGC Nice,-,3,1,1,0,0,2,0,2,g,4,G,OGC Nice,OGCN,./logos_clubs/OGCN.png
2009-2010,1,FC Lorient,6,3,1,1,0,0,2,1,1,g,6,G,FC Lorient,FCL,./logos_clubs/FCL.png
2009-2010,1,AS Monaco FC,7,3,1,1,0,0,1,0,1,G,7,G,AS Monaco,ASM,./logos_clubs/ASM.png
2009-2010,1,FC Sochaux-Montbéliard,-,3,1,1,0,0,1,0,1,g,7,G,FC Sochaux-Montbéliard,FCSM,./logos_clubs/FCSM.png
2009-2010,1,Le Mans UC 72,9,1,1,0,1,0,2,2,0,N,9,N,Le Mans UC 72,MUC72,./logos_clubs/MUC72.png
2009-2010,1,Olympique Lyonnais,-,1,1,0,1,0,2,2,0,n,9,N,Olympique Lyonnais,OL,./logos_clubs/OL.png
2009-2010,1,Montpellier Hérault SC,11,1,1,0,1,0,1,1,0,N,11,N,Montpellier Hérault SC,MHSC,./logos_clubs/MHSC.png
2009-2010,1,Paris Saint-Germain FC,-,1,1,0,1,0,1,1,0,n,11,N,Paris Saint-Germain FC,PSG,./logos_clubs/PSG.png
2009-2010,1,Lille OSC,13,0,1,0,0,1,1,2,-1,P,13,P,Lille OSC,LOSC,./logos_clubs/LOSC.png
2009-2010,1,AJ Auxerre,14,0,1,0,0,1,0,1,-1,P,14,P,AJ Auxerre,AJA,./logos_clubs/AJA.png
2009-2010,1,Toulouse FC,-,0,1,0,0,1,0,1,-1,p,14,P,Toulouse FC,TFC,./logos_clubs/TFC.png
2009-2010,1,Valenciennes FC,16,0,1,0,0,1,1,3,-2,P,16,P,Valenciennes FC,VAFC,./logos_clubs/VAFC.png
2009-2010,1,Grenoble Foot 38,17,0,1,0,0,1,0,2,-2,P,17,P,Grenoble Foot 38,GF38,./logos_clubs/GF38.png
2009-2010,1,AS Saint-Etienne,-,0,1,0,0,1,0,2,-2,P,17,P,AS Saint-Etienne,ASSE,./logos_clubs/ASSE.png
2009-2010,1,RC Lens,19,0,1,0,0,1,1,4,-3,p,19,P,RC Lens,RCL,./logos_clubs/RCL.png
2009-2010,1,US Boulogne CO,20,0,1,0,0,1,0,3,-3,p,20,P,US Boulogne CO,USB,./logos_clubs/USB.png
2008-2009,1,Olympique Lyonnais,1,3,1,1,0,0,3,0,3,G,1,G,Olympique Lyonnais,OL,./logos_clubs/OL.png
2008-2009,1,AJ Auxerre,2,3,1,1,0,0,2,1,1,G,2,G,AJ Auxerre,AJA,./logos_clubs/AJA.png
2008-2009,1,FC Girondins de Bordeaux,-,3,1,1,0,0,2,1,1,G,2,G,FC Girondins de Bordeaux,FCGB,./logos_clubs/FCGB.png
2008-2009,1,Grenoble Foot 38,-,3,1,1,0,0,2,1,1,g,2,G,Grenoble Foot 38,GF38,./logos_clubs/GF38.png
2008-2009,1,Havre AC,5,3,1,1,0,0,1,0,1,G,5,G,Havre AC,HAC,./logos_clubs/HAC.png
2008-2009,1,FC Lorient,-,3,1,1,0,0,1,0,1,g,5,G,FC Lorient,FCL,./logos_clubs/FCL.png
2008-2009,1,AS Monaco FC,-,3,1,1,0,0,1,0,1,G,5,G,AS Monaco,ASM,./logos_clubs/ASM.png
2008-2009,1,Valenciennes FC,-,3,1,1,0,0,1,0,1,G,5,G,Valenciennes FC,VAFC,./logos_clubs/VAFC.png
2008-2009,1,Olympique de Marseille,9,1,1,0,1,0,4,4,0,n,9,N,Olympique de Marseille,OM,./logos_clubs/OM.png
2008-2009,1,Stade Rennais FC,-,1,1,0,1,0,4,4,0,N,9,N,Stade Rennais FC,SRFC,./logos_clubs/SRFC.png
2008-2009,1,Lille OSC,11,1,1,0,1,0,0,0,0,n,11,N,Lille OSC,LOSC,./logos_clubs/LOSC.png
2008-2009,1,AS Nancy Lorraine,-,1,1,0,1,0,0,0,0,N,11,N,AS Nancy Lorraine,ASNL,./logos_clubs/ASNL.png
2008-2009,1,SM Caen,13,0,1,0,0,1,1,2,-1,p,13,P,SM Caen,SMC,./logos_clubs/SMC.png
2008-2009,1,FC Nantes,-,0,1,0,0,1,1,2,-1,p,13,P,FC Nantes,FCN,./logos_clubs/FCN.png
2008-2009,1,FC Sochaux-Montbéliard,-,0,1,0,0,1,1,2,-1,P,13,P,FC Sochaux-Montbéliard,FCSM,./logos_clubs/FCSM.png
2008-2009,1,Le Mans UC 72,16,0,1,0,0,1,0,1,-1,P,16,P,Le Mans UC 72,MUC72,./logos_clubs/MUC72.png
2008-2009,1,OGC Nice,-,0,1,0,0,1,0,1,-1,p,16,P,OGC Nice,OGCN,./logos_clubs/OGCN.png
2008-2009,1,Paris Saint-Germain FC,-,0,1,0,0,1,0,1,-1,p,16,P,Paris Saint-Germain FC,PSG,./logos_clubs/PSG.png
2008-2009,1,AS Saint-Etienne,-,0,1,0,0,1,0,1,-1,p,16,P,AS Saint-Etienne,ASSE,./logos_clubs/ASSE.png
2008-2009,1,Toulouse FC,20,0,1,0,0,1,0,3,-3,p,20,P,Toulouse FC,TFC,./logos_clubs/TFC.png
2007-2008,1,Valenciennes FC,1,3,1,1,0,0,3,1,2,G,1,G,Valenciennes FC,VAFC,./logos_clubs/VAFC.png
2007-2008,1,Olympique Lyonnais,2,3,1,1,0,0,2,0,2,G,2,G,Olympique Lyonnais,OL,./logos_clubs/OL.png
2007-2008,1,AS Nancy Lorraine,-,3,1,1,0,0,2,0,2,g,2,G,AS Nancy Lorraine,ASNL,./logos_clubs/ASNL.png
2007-2008,1,FC Girondins de Bordeaux,4,3,1,1,0,0,1,0,1,G,4,G,FC Girondins de Bordeaux,FCGB,./logos_clubs/FCGB.png
2007-2008,1,SM Caen,-,3,1,1,0,0,1,0,1,G,4,G,SM Caen,SMC,./logos_clubs/SMC.png
2007-2008,1,Le Mans UC 72,-,3,1,1,0,0,1,0,1,G,4,G,Le Mans UC 72,MUC72,./logos_clubs/MUC72.png
2007-2008,1,AS Monaco FC,7,1,1,0,1,0,1,1,0,N,7,N,AS Monaco,ASM,./logos_clubs/ASM.png
2007-2008,1,AS Saint-Etienne,-,1,1,0,1,0,1,1,0,n,7,N,AS Saint-Etienne,ASSE,./logos_clubs/ASSE.png
2007-2008,1,Lille OSC,9,1,1,0,1,0,0,0,0,N,9,N,Lille OSC,LOSC,./logos_clubs/LOSC.png
2007-2008,1,FC Lorient,-,1,1,0,1,0,0,0,0,n,9,N,FC Lorient,FCL,./logos_clubs/FCL.png
2007-2008,1,Olympique de Marseille,-,1,1,0,1,0,0,0,0,n,9,N,Olympique de Marseille,OM,./logos_clubs/OM.png
2007-2008,1,Paris Saint-Germain FC,-,1,1,0,1,0,0,0,0,N,9,N,Paris Saint-Germain FC,PSG,./logos_clubs/PSG.png
2007-2008,1,FC Sochaux-Montbéliard,-,1,1,0,1,0,0,0,0,n,9,N,FC Sochaux-Montbéliard,FCSM,./logos_clubs/FCSM.png
2007-2008,1,RC Strasbourg,-,1,1,0,1,0,0,0,0,N,9,N,RC Strasbourg Alsace,RCS,./logos_clubs/RCS.png
2007-2008,1,RC Lens,15,0,1,0,0,1,0,1,-1,p,15,P,RC Lens,RCL,./logos_clubs/RCL.png
2007-2008,1,FC Metz,-,0,1,0,0,1,0,1,-1,p,15,P,FC Metz,FCM,./logos_clubs/FCM.png
2007-2008,1,OGC Nice,-,0,1,0,0,1,0,1,-1,p,15,P,OGC Nice,OGCN,./logos_clubs/OGCN.png
